encrypted,file_id,image_count_sample,page_count,pdf_status,relative_path,sample_text_chars,text_layer_status
False,file_e33a15a0d18aa59d,9,3,readable,1992年数学建模国赛优秀论文/1992年A题优秀论文① 关于施肥效果分析问题的评注.pdf,33,scanned_or_no_text
False,file_4dd833a983204ec7,9,6,readable,1992年数学建模国赛优秀论文/1992年A题优秀论文② 施肥方案对作物蔬菜的影响.pdf,3056,native_text
False,file_a3f3e31eac2a0bae,9,5,readable,1992年数学建模国赛优秀论文/1992年A题优秀论文③ 关于非线性交调的频率设计的评注.pdf,2780,native_text
False,file_bf05c021a75807aa,14,1,readable,1992年数学建模国赛优秀论文/1992年A题优秀论文③ 施肥效果分析.pdf,976,native_text
False,file_c85f42d0553d31c9,8,1,readable,1992年数学建模国赛优秀论文/1992年B题优秀论文① 实验数据分解.pdf,363,native_text
False,file_40bf78bb864d6246,9,9,readable,1992年数学建模国赛优秀论文/1992年B题优秀论文② 蛋白质氨基酸的组合问题.pdf,2269,native_text
False,file_b4771e2bf6fdc12f,6,2,readable,1992年数学建模国赛优秀论文/1992年B题优秀论文③ 关于蛋白质氨基酸的组合问题的评注.pdf,1889,native_text
False,file_6d0b067c824a5a9d,2,2,readable,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年A题优秀论文① 非线性交调的频率设计.pdf,1133,native_text
False,file_dd5510116a8cecd6,9,8,readable,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年A题优秀论文② 非线性交调的频率设计.pdf,2165,native_text
False,file_f12da4b3c66a6879,6,2,readable,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年B题优秀论文① 关于球队排名次问题的几点评注.pdf,22,scanned_or_no_text
False,file_f3de3d47dbb032e2,2,2,readable,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年B题优秀论文② 足球排名次问题.pdf,2459,native_text
False,file_0b41aa604c488f1f,9,9,readable,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年B题优秀论文③ 一个给足球队排名次的方法.pdf,33,scanned_or_no_text
False,file_a85e1e7c64a67ae2,2,2,readable,1993年数学建模国赛真题+优秀论文/1993年国赛真题/1993年国赛赛题.pdf,2580,native_text
False,file_af55bec0aac81b01,6,28,readable,1994年数学建模国赛真题+优秀论文/1994年国赛优秀论文/1994A数学建模优秀论文.pdf,33,scanned_or_no_text
False,file_5b627cf7a198cd3f,6,26,readable,1994年数学建模国赛真题+优秀论文/1994年国赛优秀论文/1994B数学建模优秀论文.pdf,33,scanned_or_no_text
False,file_a25c1958bc4f1673,6,56,readable,1994年数学建模国赛真题+优秀论文/1994年国赛优秀论文/1994年全国大学生数学建模竞赛优秀论文全集.pdf,33,scanned_or_no_text
False,file_17d450ff8092f5f3,2,2,readable,1994年数学建模国赛真题+优秀论文/1994年国赛赛题/1994年国赛赛题.pdf,2470,native_text
False,file_31a66152970884c1,6,2,readable,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：空中防撞系统的设计.pdf,22,scanned_or_no_text
False,file_f79109fd86a72341,9,4,readable,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理模型的线性化处理方法.pdf,33,scanned_or_no_text
False,file_2bcd8ef6c89b9f6d,9,5,readable,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理模型的能量梯度求解法.pdf,33,scanned_or_no_text
False,file_21fdfbff0d98087a,9,9,readable,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理问题的实时算法.pdf,33,scanned_or_no_text
False,file_a204cb51d47806b0,9,6,readable,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理问题的线性规划模型.pdf,33,scanned_or_no_text
False,file_61e2da1e42f7d92b,6,2,readable,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理问题的逐步逼近搜索方法.pdf,22,scanned_or_no_text
False,file_d90a338e10740908,6,2,readable,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理问题答卷评述.pdf,22,scanned_or_no_text
False,file_898df420c7776af7,9,3,readable,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995A：飞行管理问题约束条件的线性化.pdf,33,scanned_or_no_text
False,file_e04009714818e863,6,2,readable,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995B：冶炼车间的最优调度模型的检验.pdf,238,native_text
False,file_1f4c61e041a1939d,9,5,readable,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995B：天车与冶炼炉作业调度的Petri网模型.pdf,33,scanned_or_no_text
False,file_429f47b3c87e389a,9,4,readable,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995B：天车与冶炼炉的作业调度.pdf,33,scanned_or_no_text
False,file_e851d368e3f03eaa,9,3,readable,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995B：天车与冶炼炉的作业调度模型.pdf,33,scanned_or_no_text
False,file_d504464ededf4ded,9,10,readable,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995B：天车与冶炼炉的操作模型.pdf,357,native_text
False,file_5134292d22609876,9,3,readable,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995B：天车作业调度的随机性分析.pdf,357,native_text
False,file_777d593994e91857,9,3,readable,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995B：天车冶炼炉作业调度的活动网络模型.pdf,33,scanned_or_no_text
False,file_1aeacf08456ed8cd,2,2,readable,1995年数学建模国赛真题+优秀论文/1995年国赛赛题/1995年国赛赛题.pdf,2081,native_text
False,file_5b52a641d99d7491,9,8,readable,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996A：持续高产捕鱼策略.pdf,357,native_text
False,file_0b39f6d92524cf04,9,4,readable,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996A：最优捕鱼模型.pdf,33,scanned_or_no_text
False,file_0d36b8860b728b62,9,4,readable,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996A：最优捕鱼策略.pdf,357,native_text
False,file_1913f7c900616854,9,8,readable,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996A：最优捕鱼策略模型.pdf,33,scanned_or_no_text
False,file_eff53efa267110ed,9,7,readable,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996A：最优捕鱼策略的设计.pdf,33,scanned_or_no_text
False,file_0015ebc21dcf330c,9,6,readable,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996A：最优捕鱼策略问题.pdf,33,scanned_or_no_text
False,file_191626d57d89ccae,9,3,readable,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996A：最优捕鱼策略问题答卷评述.pdf,33,scanned_or_no_text
False,file_d8e93cf32bd57e17,9,4,readable,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996A：最佳捕鱼策略的数学模型.pdf,357,native_text
False,file_fc3e647affa8c659,9,5,readable,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996B：关于洗衣机节水的数学模型.pdf,357,native_text
False,file_cef5eeea8a2e8966,9,5,readable,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996B：洗衣机的节水优化模型.pdf,33,scanned_or_no_text
False,file_17ef77a894a42798,9,11,readable,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996B：洗衣机的节水程序设计.pdf,2147,native_text
False,file_8a6ebc2c5325c27f,9,4,readable,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996B：节水洗衣机的设计.pdf,2498,native_text
False,file_6e1e0aac01f4a252,9,5,readable,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996B：节水洗衣机问题数学建模及若干评注.pdf,2353,native_text
False,file_6dfbd1eb2121d140,1,1,readable,1996年数学建模国赛真题+优秀论文/1996年国赛赛题/1996年国赛赛题.pdf,1175,native_text
False,file_61cc85c72eaa734f,9,5,readable,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：关于零件参数问题的建模.pdf,2385,native_text
False,file_e6362fed52ed7ce1,9,5,readable,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：零件参数的优化设计.pdf,33,scanned_or_no_text
False,file_b0b48a0c7a6b9f2b,9,5,readable,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：零件参数设计的动态规划模型.pdf,33,scanned_or_no_text
False,file_efc2b618e1be8c22,9,4,readable,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：零件参数设计的数学模型.pdf,33,scanned_or_no_text
False,file_f16a8b5256e40784,9,5,readable,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：零件的参数设计(1).pdf,3250,native_text
False,file_6af9745ac4a5aec7,9,4,readable,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：零件的参数设计(2).pdf,33,scanned_or_no_text
False,file_112806181d9bf008,9,8,readable,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：零件的参数设计(3).pdf,33,scanned_or_no_text
False,file_f515d0968cd8f50a,9,4,readable,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：零件的参数设计模型和评述.pdf,33,scanned_or_no_text
False,file_5a93ced7f455b154,9,6,readable,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：零件的参数设计（4）.pdf,357,native_text
False,file_0047ac9da189a2c8,9,5,readable,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997B：切割次序的优化.pdf,33,scanned_or_no_text
False,file_3afa43decd5d2d5c,9,3,readable,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997B：截断切割中的最优排列问题.pdf,357,native_text
False,file_5d00f1980d34a61e,9,6,readable,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997B：截断切割优化模型.pdf,2788,native_text
False,file_4afabc37dabe7a33,9,6,readable,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997B：截断切割的最优方案.pdf,33,scanned_or_no_text
False,file_b02b13d63dcc9145,9,7,readable,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997B：最优切割次序模型.pdf,33,scanned_or_no_text
False,file_67e9d9b6e4a3d162,9,6,readable,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997B：最小费用切割策略.pdf,33,scanned_or_no_text
False,file_a2c0e8c4d7eb1d1b,9,6,readable,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997B：长方体材料截断切割的优化设计.pdf,4127,native_text
False,file_423fdd24b0795d72,2,2,readable,1997年数学建模国赛真题+优秀论文/1997年国赛赛题/1997年国赛赛题.pdf,2006,native_text
False,file_58e74a64e40df698,9,5,readable,1998年数学建模国赛真题+优秀论文/1998年国赛优秀论文/1998A：一类投资组合问题的建模与分析.pdf,3405,native_text
False,file_66dba7e3d9b4b10e,6,2,readable,1998年数学建模国赛真题+优秀论文/1998年国赛优秀论文/1998A：投资收益与风险的优化模型.pdf,1840,native_text
False,file_216f237c2ec3cdc3,9,5,readable,1998年数学建模国赛真题+优秀论文/1998年国赛优秀论文/1998A：投资组合与模糊规划模型.pdf,2486,native_text
False,file_67e296d2342b1dc6,9,4,readable,1998年数学建模国赛真题+优秀论文/1998年国赛优秀论文/1998A：投资组合模型.pdf,357,native_text
False,file_b56149418aa52d81,9,6,readable,1998年数学建模国赛真题+优秀论文/1998年国赛优秀论文/1998A：资产投资收益与风险模型.pdf,357,native_text
False,file_e50200116e0b40c3,9,8,readable,1998年数学建模国赛真题+优秀论文/1998年国赛优秀论文/1998A：资本市场的最佳投资组合.pdf,357,native_text
False,file_a7baab20f1c50898,9,6,readable,1998年数学建模国赛真题+优秀论文/1998年国赛优秀论文/1998A：风险投资分析.pdf,357,native_text
False,file_0e27f6ee755b2cba,9,4,readable,1998年数学建模国赛真题+优秀论文/1998年国赛优秀论文/1998A：风险投资组合的线性规划模型.pdf,2395,native_text
False,file_7b2754fee06c72f0,9,8,readable,1998年数学建模国赛真题+优秀论文/1998年国赛优秀论文/1998B：多旅行商路线的几个问题.pdf,33,scanned_or_no_text
False,file_8c0e4c4de72bce97,9,10,readable,1998年数学建模国赛真题+优秀论文/1998年国赛优秀论文/1998B：最佳灾情巡视路线的数学模型.pdf,2752,native_text
False,file_a6bc1f3623cb60c4,9,5,readable,1998年数学建模国赛真题+优秀论文/1998年国赛优秀论文/1998B：灾情巡视的最佳路线.pdf,3611,native_text
False,file_5338b11fdf996312,3,1,readable,1998年数学建模国赛真题+优秀论文/1998年国赛优秀论文/1998B：灾情巡视的最佳路线_节选_.pdf,709,native_text
False,file_061246ff351d37d5,9,6,readable,1998年数学建模国赛真题+优秀论文/1998年国赛优秀论文/1998B：灾情巡视路线寻优模型.pdf,3317,native_text
False,file_07c5e23c5ce524fd,9,4,readable,1998年数学建模国赛真题+优秀论文/1998年国赛优秀论文/1998B：灾情巡视路线最优解的证明.pdf,3821,native_text
False,file_7e33c4b3f114df91,9,7,readable,1998年数学建模国赛真题+优秀论文/1998年国赛优秀论文/1998B：灾情巡视路线的设计.pdf,3027,native_text
False,file_00dcadc9245b8b16,2,2,readable,1998年数学建模国赛真题+优秀论文/1998年国赛赛题/1998年国赛赛题.pdf,1596,native_text
False,file_e8beb55cc3e76c34,7,6,readable,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999A：刀具问题的仿真及灵敏度分析.pdf,3626,native_text
False,file_954e22a1ac7aa18b,6,5,readable,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999A：最优刀具更换周期上界_检查间隔下界的证明.pdf,4228,native_text
False,file_293e54fc54bb6306,6,10,readable,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999A：自动化车床最优刀具检测更换模型.pdf,3641,native_text
False,file_d9268b675266cf23,6,5,readable,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999A：自动化车床管理建模分析.pdf,3438,native_text
False,file_fce40ea9b8f0c058,6,4,readable,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999A：自动化车床管理的数学模型.pdf,3714,native_text
False,file_3a6c56ba72d822cc,6,6,readable,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999A：自动化车床管理（1）.pdf,4356,native_text
False,file_3170544a65deecf7,7,6,readable,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999A：自动化车床管理（2）.pdf,4236,native_text
False,file_7cfbe9661ee7bae7,6,6,readable,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999A：车床管理优化模型.pdf,4649,native_text
False,file_eb5be7030db32919,7,6,readable,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999B：钻井布局.pdf,4879,native_text
False,file_224c5420a88675cc,6,10,readable,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999B：钻井布局模型.pdf,4521,native_text
False,file_7e1263c626013217,6,7,readable,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999B：钻井布局的数学模型.pdf,5396,native_text
False,file_ab34b42b3ddc915c,6,7,readable,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999B：钻井布局的设计.pdf,4020,native_text
False,file_a61eb89fb32de964,6,7,readable,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999B：钻井布局问题评述.pdf,3898,native_text
False,file_a862be437f4064af,6,7,readable,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999C：煤矸石堆积模型.pdf,4777,native_text
False,file_91239f270e6f6ec2,7,6,readable,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999C：煤矸石堆积经费问题的几点讨论.pdf,3998,native_text
False,file_643bf82ea4f8c020,6,6,readable,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999C：煤矸石堆积问题的解答及引出的思考.pdf,4222,native_text
False,file_44b48065a74ff5bd,3,3,readable,1999年数学建模国赛真题+优秀论文/1999年国赛赛题/1999年国赛赛题.pdf,4121,native_text
False,file_d3fee63f713084f6,7,9,readable,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000A：DNA分类模型.pdf,3873,native_text
False,file_6b87a5ab24bb1393,6,5,readable,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000A：DNA序列中的结构与简化模型.pdf,5411,native_text
False,file_5263cff7773f234d,7,8,readable,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000A：DNA序列分类的数学模型.pdf,4479,native_text
False,file_d33714f3324a4771,6,8,readable,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000A：DNA序列的分类.pdf,5191,native_text
False,file_a98a01f2141bbd61,6,9,readable,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000A：DNA序列的分类模型.pdf,4518,native_text
False,file_563500442801ad0a,6,7,readable,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000A：关于DNA序列分类问题的模型.pdf,4388,native_text
False,file_45f8fb2ca74032a6,6,6,readable,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000B：一类运输问题的建模.pdf,4352,native_text
False,file_bc700212a7fdee0f,6,6,readable,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000B：一类运输问题的建模1.pdf,4352,native_text
False,file_cffc924b98e56126,6,4,readable,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000B：管道订购与运输问题.pdf,3964,native_text
False,file_f0e220afba586ae7,6,4,readable,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000B：管道订购和运输.pdf,3620,native_text
False,file_4dd053217a5b876b,6,5,readable,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000B：订购和运输钢管的最优方案.pdf,4525,native_text
False,file_f1087b62901fb1d8,6,6,readable,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000B：钢管的订购和运输.pdf,4763,native_text
False,file_a298623f3a31d2b0,8,8,readable,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000B：钢管的订购和运输解答模型.pdf,2608,native_text
False,file_08eff80444707c42,6,4,readable,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000B：钢管订购和运输策略.pdf,4640,native_text
False,file_f2d9f278d1eae792,7,3,readable,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000C：航程计算的数学模型.pdf,4240,native_text
False,file_c78b61b029be5802,6,5,readable,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000C：飞越北极.pdf,4865,native_text
False,file_27c69a0589b5ce3e,7,8,readable,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000C：飞越北极的数学模型 (2).pdf,4047,native_text
False,file_8f614e93ca0d3518,6,6,readable,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000C：飞越北极的数学模型.pdf,4553,native_text
False,file_6e9ae11ee3e6a8f4,8,5,readable,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000D：空洞探测.pdf,3660,native_text
False,file_16e2d46eef60cae9,7,3,readable,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000D：空洞探测的最优解法.pdf,3400,native_text
False,file_8e58f8777ccd43e5,6,3,readable,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000D：空洞探测问题及有关情况.pdf,3593,native_text
False,file_69f6cdb8e827e504,3,6,readable,2000年数学建模国赛真题+优秀论文/2000年国赛赛题/2000年国赛赛题.pdf,4646,native_text
False,file_7ccca01109cf0a18,6,6,readable,2001年数学建模国赛真题+优秀论文/2001年国赛优秀论文/2001A：利用切片的二维空间相关操作实现血管的三维重建.pdf,3775,native_text
False,file_9c7135f98d2ef016,6,5,readable,2001年数学建模国赛真题+优秀论文/2001年国赛优秀论文/2001A：旋转抛物面聚光效果的研究.pdf,4145,native_text
False,file_0b1c5e62da9a6058,11,7,readable,2001年数学建模国赛真题+优秀论文/2001年国赛优秀论文/2001A：管道切片的三维重建 (2).pdf,4391,native_text
False,file_3e9690736e6617e6,6,7,readable,2001年数学建模国赛真题+优秀论文/2001年国赛优秀论文/2001A：管道切片的三维重建.pdf,4272,native_text
False,file_4633fe8c510c52ad,6,5,readable,2001年数学建模国赛真题+优秀论文/2001年国赛优秀论文/2001A：血管三维重建的问题.pdf,4870,native_text
False,file_51b2b38ddfa4a352,9,5,readable,2001年数学建模国赛真题+优秀论文/2001年国赛优秀论文/2001A：血管三维重建的问题A.pdf,5316,native_text
False,file_09d80a6bc9c7eae0,10,6,readable,2001年数学建模国赛真题+优秀论文/2001年国赛优秀论文/2001A：血管切片的三维重建 (2).pdf,4918,native_text
False,file_ba204a330593578a,6,6,readable,2001年数学建模国赛真题+优秀论文/2001年国赛优秀论文/2001A：血管切片的三维重建.pdf,4302,native_text
False,file_31f7d992b82249db,11,6,readable,2001年数学建模国赛真题+优秀论文/2001年国赛优秀论文/2001A：血管的三维重建 (2).pdf,3607,native_text
False,file_9661d82a1b1a13f0,6,6,readable,2001年数学建模国赛真题+优秀论文/2001年国赛优秀论文/2001A：血管的三维重建.pdf,3452,native_text
